Title,Style,Size,OG,FG,ABV,IBU,Color
Flowers & Wood - Farmhouse Saison,Saison,21 Litres,1.061,1.01,6.76,30.29,9.83 °L
NEIPA #11: Voss Kveik,Specialty IPA: New England IPA,5.5 Gallons,1.063,1.011,6.78,52.81,4.71 °L
Yorkshire Bitter,Special/Best/Premium Bitter,21 Litres,1.043,1.011,4.25,34.98,13.33 °L
NEIPA Juice Bomb,American IPA,5 Gallons,1.088,1.027,8.06,30.55,5.18 °L
Hoppy Pale Ale,American Pale Ale,5 Gallons,1.064,1.015,6.42,63.57,7.92 °L
Shiner Bock Clone,American Lager,11 Gallons,1.05,1.011,5.12,13.37,18.2 °L
Hazy Jane Clone,Specialty IPA: New England IPA,18.6 Litres,1.066,1.018,6.3,0,6.53 °L
Founders Brewing Co. - Dirty Bastard Clone,Strong Scotch Ale,5.5 Gallons,1.087,1.022,8.56,49.96,24.85 °L
Hard Cider,Common Cider,6 Gallons,1.041,1.003,5.08,0,8.67 °L
Seizoen Pompoen  (Pumpkin Saison),Saison,5 Gallons,1.062,1.007,7.2,33.4,13 °L
Bakke Brygg Havrestout 20 L,Oatmeal Stout,20 Litres,1.057,1.015,5.46,34,35.89 °L
Rochefort 8 Clone,No Profile Selected,5 Gallons,1.079,1.019,7.9,26.8,29.4 °L
Sip Of Sunshine Clone,American IPA,6 Gallons,1.079,1.015,8.46,96.32,8.26 °L
Asahi Clone,American Lager,23 Litres,1.044,1.007,4.97,17.51,2.31 °L
Pale Ale - Bee's Knees Haus Pale - 10 Gal,American Pale Ale,10 Gallons,1.049,1.01,5.06,33.39,8.76 °L
Traditional German Hefeweizen,Weizen/Weissbier,12 Gallons,1.051,1.012,5.13,8.5,3.66 °L
Blackberry Sour Ale,Fruit Beer,5.5 Gallons,1.068,1.017,6.7,30.66,4.39 °L
Chocolate Mint Stout,American Stout,2 Gallons,1.087,1.025,8.08,43.24,31.77 °L
03 VOX POPULI IPA,Specialty IPA: New England IPA,600 Litres,1.071,1.017,7.06,31.94,3.98 °L
Shiner Bock,Dark American Lager,5.5 Gallons,1.043,1.011,4.14,12.88,17.67 °L
La Fin Du Monde Clone,Belgian Tripel,5.25 Gallons,1.078,1.011,8.74,22.41,46.43 °L
Imperial Chocolate Milk Stout (50L),Imperial Stout,52 Litres,1.082,1.012,9.16,35.75,38.79 °L
HORNET 23L,American IPA,23 Litres,14.138,2.365,6.32,42.8,6.41 °L
NEIPA #03: Pina ColaDIPA,Double IPA,5.5 Gallons,1.077,1.02,7.53,53.62,5.81 °L
Sloop Juice Bomb Clone,American IPA,5 Gallons,1.063,1.02,5.72,76.19,4.15 °L
Oatmeal IPA,American IPA,5.25 Gallons,1.061,1.008,6.92,77.73,10.53 °L
Bonnie And Clyde Mango Milkshake NEIPA. We Used To Be Good But Then We Got Bored,Specialty IPA: New England IPA,27 Litres,1.054,1.017,4.76,83.47,4.17 °L
Cali' Creamin' Clone,Cream Ale,5 Gallons,1.052,1.011,5.38,25.46,6.1 °L
American Nut Brown Ale,American Brown Ale,5 Gallons,1.046,1.011,4.52,19.97,17.6 °L
Pabst Blue Ribbon Clone,Light American Lager,5.5 Gallons,1.038,1.009,3.78,8.23,2.37 °L
Mexican Cerveza,Light American Lager,28 Litres,1.049,1.012,4.96,28.95,2.97 °L
Todd The Axe Man (Surly),American IPA,6 Gallons,1.074,1.018,7.34,52.81,6.21 °L
Hefe Graf (Apple Wheat),Fruit Beer,5 Gallons,1.077,1.008,9.08,31.36,10.43 °L
Weg Farmhouse Ale,Saison,12 Gallons,1.059,1.014,6.01,31.29,5.92 °L
Pivo Pils Clone,German Pils,5.5 Gallons,1.047,1.01,4.9,39.65,3.1 °L
Mosaic IPA,American IPA,5.5 Gallons,1.064,1.016,6.26,63.67,6.18 °L
SMASH Citra IPA,American IPA,5 Gallons,1.064,1.016,6.28,63.46,6.74 °L
Erdinger Hefeweize Clone,Weissbier,23 Litres,1.05,1.013,4.93,11.34,6.93 °L
Classic German Pilsner,German Pilsner (Pils),6 Gallons,1.048,1.011,4.81,31.94,3.08 °L
Nelson Sauvin SMaSH,American Pale Ale,5 Gallons,1.053,1.015,5.03,48.24,3.59 °L
Citradelic IPA Clone (New Belgium),American IPA,5.5 Gallons,1.063,1.013,6.49,88.17,9.49 °L
