Recipe Name,Recipe URL,Beer Style,Brewer,Stats
Vamos De Fiesta V1.1,https://beersmithrecipes.com/viewrecipe/5169189/vamos-de-fiesta-v11,International Pale Lager ( 2A),atlref,"OG: 1.049 (12.2° P), Bitterness: 18.1 IBUs, ABV: 5.3 %"
Grodziskie Specjalne-II,https://beersmithrecipes.com/viewrecipe/5170133/grodziskie-specjalne-ii,Piwo Grodziskie (27 ),ysanstra,"OG: 1.031 (7.7° P), Bitterness: 28.8 IBUs, ABV: 3.2 %"
Grodziskie Specjalne-20L,https://beersmithrecipes.com/viewrecipe/4750677/grodziskie-specjalne-20l,Piwo Grodziskie (27 ),ysanstra,"OG: 1.034 (8.6° P), Bitterness: 29.7 IBUs, ABV: 3.6 %"
Lawnblazer Honey Cream Ale,https://beersmithrecipes.com/viewrecipe/4405493/lawnblazer-honey-cream-ale,Cream Ale (6A),HOPS-SCOTCH,"OG: 1.048 (11.9° P), Bitterness: 17.1 IBUs, ABV: 5.2 %"
Summer Weizen (Von Trapp clone) 2023,https://beersmithrecipes.com/viewrecipe/4558828/summer-weizen-von-trapp-clone-2023,Weissbier (10A),pmiraglia,"OG: 1.043 (10.7° P), Bitterness: 14.8 IBUs, ABV: 4.4 %"
Belgian Single - Small Batch - Extract,https://beersmithrecipes.com/viewrecipe/5158588/belgian-single-small-batch-extract,Belgian Single (26A),mkmead2022,"OG: 1.049 (12.3° P), Bitterness: 35.6 IBUs, ABV: 5.6 %"
Mark's Oud Bruin,https://beersmithrecipes.com/viewrecipe/491994/marks-oud-bruin,Oud Bruin (23C),zambron,"OG: 1.069 (16.8° P), Bitterness: 23.2 IBUs, ABV: 7.1 %"
Big Brew Day 2025 (HCHB),https://beersmithrecipes.com/viewrecipe/5154491/big-brew-day-2025-hchb,Double IPA (22A),idntknw45,"OG: 1.081 (19.5° P), Bitterness: 0.0 IBUs, ABV: 8.9 %"
Jess - Couvetoberfest 2020 - AG 5G,https://beersmithrecipes.com/viewrecipe/3238700/jess-couvetoberfest-2020-ag-5g,Festbier ( 4B),BaderBeer,"OG: 1.055 (13.6° P), Bitterness: 21.6 IBUs, ABV: 6.0 %"
Carlton Draght,https://beersmithrecipes.com/viewrecipe/5168505/carlton-draght-,American Light Lager (1A),nexus7brewer,"OG: 1.036 (9.1° P), Bitterness: 11.0 IBUs, ABV: 3.9 %"
Extra Shabby Bitter,https://beersmithrecipes.com/viewrecipe/2218201/extra-shabby-bitter,Best Bitter (11B),jonsl8,"OG: 1.047 (11.7° P), Bitterness: 29.9 IBUs, ABV: 4.5 %"
Manny's clone,https://beersmithrecipes.com/viewrecipe/1988523/mannys-clone,American Pale Ale (18B),jonsl8,"OG: 1.052 (12.8° P), Bitterness: 37.5 IBUs, ABV: 5.5 %"
CSB Cheap German Blonde,https://beersmithrecipes.com/viewrecipe/1933519/csb-cheap-german-blonde,German Leichtbier (5A),CasaSueno,"OG: 1.031 (7.9° P), Bitterness: 23.5 IBUs, ABV: 3.2 %"
Dragon Silk,https://beersmithrecipes.com/viewrecipe/2259394/dragon-silk,Imperial Stout (20C),ctg6string,"OG: 1.102 (24.3° P), Bitterness: 36.9 IBUs, ABV: 10.1 %"
Cream Ale,https://beersmithrecipes.com/viewrecipe/2292840/cream-ale,Cream Ale (1C),ctg6string,"OG: 1.039 (9.6° P), Bitterness: 26.1 IBUs, ABV: 4.0 %"
WC W-IPA【US】Sowaka,https://beersmithrecipes.com/viewrecipe/4833410/wc-w-ipaussowaka,American IPA (21A),Kohshi,"OG: 1.063 (15.4° P), Bitterness: 71.9 IBUs, ABV: 7.1 %"
Reverb,https://beersmithrecipes.com/viewrecipe/1874858/reverb,American IPA (21A),JamSessionJeff,"OG: 1.078 (18.9° P), Bitterness: 64.2 IBUs, ABV: 7.7 %"
Das Boot,https://beersmithrecipes.com/viewrecipe/2431974/das-boot,Weissbier (10A),JamSessionJeff,"OG: 1.058 (14.2° P), Bitterness: 45.7 IBUs, ABV: 5.8 %"
Mark's Gose,https://beersmithrecipes.com/viewrecipe/725780/marks-gose,Gose (27 ),zambron,"OG: 1.044 (10.9° P), Bitterness: 8.8 IBUs, ABV: 4.7 %"
Rauchbier (2025 - Steinbier),https://beersmithrecipes.com/viewrecipe/5162341/rauchbier-2025-steinbier,Rauchbier (6B),jstauffer,"OG: 1.057 (14.0° P), Bitterness: 23.9 IBUs, ABV: 5.8 %"
150- Pacifica II,https://beersmithrecipes.com/viewrecipe/4790889/150-pacifica-ii,Czech Premium Pale Lager ( 3B),lucio,"OG: 1.053 (13.1° P), Bitterness: 36.7 IBUs, ABV: 5.7 %"
150- Pacifica II,https://beersmithrecipes.com/viewrecipe/4790889/150-pacifica-ii,Czech Premium Pale Lager ( 3B),lucio,"OG: 1.053 (13.1° P), Bitterness: 36.7 IBUs, ABV: 5.7 %"
Red SIPA Me Final,https://beersmithrecipes.com/viewrecipe/3046614/red-sipa-me-final,Red IPA (21B),flopez,"OG: 1.044 (10.9° P), Bitterness: 30.1 IBUs, ABV: 4.5 %"
Stocky v3,https://beersmithrecipes.com/viewrecipe/4667132/stocky-v3,Oatmeal Stout (16B),andrewoshea,"OG: 1.060 (14.8° P), Bitterness: 30.8 IBUs, ABV: 6.0 %"
